,ours,ours,ours,ours,ours,ours,ours,kdsc,kdsc,kdsc,kdsc,kdsc,kdsc,kdsc,tdbm,tdbm,tdbm,tdbm,tdbm,tdbm,tdbm
,top_mean,top_median,top_std,top_p90,rest_mean,cohens_d,ks_stat,top_mean,top_median,top_std,top_p90,rest_mean,cohens_d,ks_stat,top_mean,top_median,top_std,top_p90,rest_mean,cohens_d,ks_stat
feature,,,,,,,,,,,,,,,,,,,,,
avg_speed,7.857641862803067,7.226795673370361,2.3895084960796584,10.996067428588866,9.719166552973427,-0.5737372333177939,0.2829009383761167,8.328904531769833,7.810326099395752,2.7098113424428507,11.819673538208008,9.666789943101717,-0.4094245367897756,0.19094185994990576,8.78606036404047,8.172624588012695,2.9127734497435855,13.013395309448242,9.615981181334286,-0.25280447210708806,0.1297080617290064
max_speed,10.048648682979925,9.703847885131836,2.468048900370529,13.165147781372074,11.204011436213632,-0.37237815684113,0.17303964880181333,12.087828714295295,11.74472999572754,2.709457098539674,15.578600883483888,10.977374904207915,0.35773363493674065,0.20608067897389384,10.478477663143302,10.089898109436035,2.8420013153520713,14.241327667236327,11.156239808439823,-0.21755662536850856,0.09484019109824149
var_speed,2.399002417171099,1.6086406707763672,2.464288304731482,5.745149612426759,1.640901979698991,0.3127060656628654,0.24307077741607308,7.275665381352047,6.769097805023193,3.2901879007600545,11.386972427368166,1.0989047234539073,3.9111619037283214,0.8652966340611156,1.933544710326994,0.9617787003517152,2.5628181748785135,5.038005542755128,1.6926334202066917,0.09898167063965568,0.0907169311686653
max_abs_accel,4.998460669975496,4.759247303009033,1.336040737353634,6.667423057556154,2.6331038270606806,1.565235307108789,0.697178225434415,5.054970868082178,4.447644710540772,2.132871331670598,8.300666618347169,2.6268232264637863,1.6164051929443848,0.5440696210614657,3.102431508973301,2.8141822814941406,1.7207051531807833,5.305436134338379,2.8438304264939167,0.1550600098516341,0.08648681052030743
var_acceleration,1.1686999145609607,0.9792048335075378,0.7310817009280159,2.073382234573365,0.4359775584918398,1.2757381872241556,0.6096349707349324,1.321038133755651,0.9319543242454528,1.1333733688665422,2.8290019989013673,0.41904653466853325,1.6333384283816341,0.5135024599684979,0.5891613415307106,0.3670466840267181,0.667151012020924,1.3043448448181154,0.5003880618991308,0.1444838290094762,0.10073990187927173
gamma,6.767199763085089,6.331967106807657,3.3975335299594196,11.49718678133886,3.0495643471739475,1.409268968392167,0.5168257848832916,5.714536238155734,4.755482479708562,3.918837356039072,11.340545148012067,3.166558436462383,0.9231071627470675,0.31504972498568673,3.6091604328295372,2.613798514790288,2.9288560029002264,7.954409962776399,3.400552033771241,0.07285184517607321,0.04818245555506323
max_abs_long_accel,3.377745682092517,2.99057936668396,1.674010322348241,5.574982166290285,2.4280564662765487,0.6029690761139209,0.2975100149344371,4.75642561417034,4.108587741851807,2.1269484074065397,8.08392505645752,2.274828583620967,1.7515006458806128,0.6079267196105057,2.6978460949596808,2.322731733322144,1.6609366142254967,4.810669231414795,2.5036211943405586,0.1214261760121596,0.08016030845389918
max_abs_lat_accel,4.274687877193971,4.085620880126953,1.0715325628151826,5.70780782699585,1.1429743059855029,3.5140746741053848,0.910393812156232,1.8563724143657596,1.236156344413757,1.6726596646587182,4.232271480560303,1.4117483334742142,0.3451531505333514,0.10890779657541805,1.5970855201680974,1.0744937658309937,1.3907767762686345,3.7008952617645265,1.440565741252372,0.12093643513003367,0.06137193524761708
max_abs_jerk,29.780592958805926,29.30025100708008,10.611782628655376,44.85722274780274,14.697849473721844,1.5668103405652283,0.5633857819641694,24.540697196109146,23.144027709960938,12.558954465541166,43.23029479980469,15.280216790727701,0.9018926735219015,0.3275265826897798,17.022141419753996,14.150101661682127,10.673263587216825,33.40091094970705,16.115836687292468,0.08522955952197678,0.06127919230672324
max_abs_long_jerk,18.71305514151671,16.764108657836914,9.854486798049487,33.207086181640626,12.933533352332214,0.6154043137320464,0.32459573200026753,22.181268419730653,20.469858169555664,12.042842048866525,40.633106231689446,12.548072619312205,1.0583297347210396,0.37512173868470966,14.198476834389545,11.143662452697754,9.774715599522784,28.310908126831055,13.435288153420352,0.07993640629279325,0.05329852106502775
max_abs_lat_jerk,25.179972607440963,23.678918838500977,10.846690596510062,41.17318878173829,7.464229667912814,2.616267057349083,0.7216013295906019,11.050853588053831,7.545398712158203,9.97622518265293,25.314969635009767,9.034554252145023,0.23479890600629477,0.09386324086840409,9.519222312824105,6.594179153442383,8.632263215029308,21.449620056152348,9.2047813018409,0.036528443053317705,0.032054740489178835
hard_brake_count,0.5964487489911219,0.0,1.5794071540920223,2.0,0.5782203085755292,0.010140615455989892,0.0377090191315439,2.6771589991928977,1.0,3.9968549428658426,8.0,0.34696806602081093,1.4071002477335077,0.39374048135975487,0.6222760290556901,0.0,2.0155344163571716,2.0,0.5753498385360603,0.026106064941418552,0.012598487790511315
hard_accel_count,1.5044390637610976,0.0,2.577353463639432,5.0,0.5226946537495515,0.5791630573148528,0.23159693353176414,2.3494753833736883,0.0,3.551112724540056,7.0,0.42877646214567633,1.1847979820812982,0.2782307774508246,0.6432606941081518,0.0,1.7048636183061898,3.0,0.6184068891280947,0.014445700126843092,0.01377439009027559
lateral_g_spike_count,4.242937853107344,3.0,4.345338588938255,10.0,0.08073196986006459,2.753106283586685,0.8959628367958813,1.0863599677159,0.0,3.042743358112803,3.0,0.43155722999641194,0.3356089930281724,0.09690985733659652,0.8393866020984665,0.0,2.7833798699890777,2.0,0.4590060997488339,0.1943064740235579,0.05386323218054068
high_jerk_count,25.761904761904763,26.0,8.275777855604666,37.0,15.18415859346968,1.1226857423963963,0.4550131577689914,22.117836965294593,22.0,9.494016302905106,34.200000000000045,15.589163975601005,0.6698031893605009,0.2819116079410546,17.250201775625506,17.0,9.738106844703749,30.0,16.13015787585217,0.1127215646901691,0.06847209154227812
max_abs_heading_rate,0.6495955184739477,0.6123232841491699,0.23078628869518172,0.8965926170349122,0.1393506449527282,3.491173751794612,0.882492739118234,0.30301107525152,0.1751875877380371,0.3173166076276508,0.705739974975586,0.17787039066071061,0.600756726973565,0.20604093199922507,0.22894215256673275,0.1316285133361816,0.2326974569606902,0.5753636360168457,0.18610248567384763,0.20277050648905623,0.09073408969871355
