pair,spearman_rho,spearman_pvalue,kendall_tau,kendall_pvalue
ours_vs_kdsc,0.25492029496044255,5.552273859693639e-183,0.1693367022171272,9.059875412092394e-176
ours_vs_tdbm,0.04870836539740119,5.835749801365272e-08,0.032228935703014716,7.460678759250853e-08
kdsc_vs_tdbm,-0.018297994740928858,0.04170267539044781,-0.012256192746729328,0.040773668763669536
