feature,iqr_std,mutual_info,rf_importance,iqr_std_rank,mutual_info_rank,rf_importance_rank,avg_rank
hard_brake_count,1.3286542151489138,0.15188052898905768,0.4713970423654661,3.0,1.0,1.0,1.6666666666666667
max_abs_lat_accel,0.9524387597316152,0.07901538340174419,0.13866427830229733,10.0,4.0,2.0,5.333333333333333
heading_change_abs,1.4531639546710597,0.03212373636891663,0.02617615356069427,1.0,8.0,8.0,5.666666666666667
lateral_g_spike_count,0.9784398385894392,0.05633598325266376,0.0961835732794423,9.0,5.0,3.0,5.666666666666667
gamma,0.9350167730617001,0.09662243203008702,0.08512386175349841,12.0,2.0,4.0,6.0
max_abs_lat_jerk,0.945795195214973,0.08001007691160078,0.0839304353176442,11.0,3.0,5.0,6.333333333333333
avg_speed,1.3235531475307647,0.005190795293095629,0.0040036612174594345,4.0,12.0,11.0,9.0
max_abs_heading_rate,0.8364346855889486,0.03566902295067775,0.03446394464309241,14.0,7.0,6.0,9.0
max_speed,1.3857981137822029,0.0049538313798331846,0.0030578386839607377,2.0,13.0,13.0,9.333333333333334
max_abs_heading_delta,0.8364346855889484,0.0357090724861866,0.026842513474716195,15.0,6.0,7.0,9.333333333333334
curvature_proxy,1.0043674338151996,0.016898281547641503,0.007611204848048445,8.0,10.0,10.0,9.333333333333334
avg_lat_jerk,0.8682000315246585,0.017962036619527222,0.0032456918322792184,13.0,9.0,12.0,11.333333333333334
path_length,1.237725843163912,0.0021841749969837565,0.0027962693264203804,6.0,14.0,14.0,11.333333333333334
avg_lat_accel,0.45050819924248625,0.010935417775907563,0.01228365957130294,16.0,11.0,9.0,12.0
var_speed,1.0646764247810654,0.0016184770345668564,0.0023445464646010545,7.0,15.0,15.0,12.333333333333334
displacement,1.260080677817769,0.0008486189520158227,0.0018753253590764838,5.0,16.0,16.0,12.333333333333334
